Adiac,k=8,k=16,k=32,k=64,k=128
LBF_PDD,0.204306602,0.29688096,0.516410351,0.859867096,1.501595497
TILB_PDD,0.17570138,0.234727859,0.329177618,0.469033957,0.751796246
KMC2,0.199861765,0.735735655,2.581740856,10.02604008,38.87141728
 , , , , , 
ElectricDevices,k=8,k=16,k=32,k=64,k=128
CKM,2.018160343,4.328199387,8.960734844,18.24280214,36.50279856
TI,2.111811399,4.515267849,9.165685892,18.03065062,34.70247436
LBF_PAA,2.456507206,4.832558155,9.436969757,18.49244809,36.11327577
TILB_PAA,2.567145109,5.020048618,9.961694479,19.06237912,37.11316729
LBF_PDD,2.873278618,5.336781025,10.02316117,18.50130463,34.06605172
TILB_PDD,2.97266221,5.513440609,10.41090035,19.05434918,33.96919489
KMC2,0.906498432,2.127132177,5.260096788,13.88911295,41.44562936
 , , , , , 
FaceAll,k=8,k=16,k=32,k=64,k=128
CKM,0.359385967,0.765637636,1.594606638,3.267309189,6.551909685
TI,0.375165224,0.765963554,1.453389883,2.720689058,4.906025648
LBF_PAA,0.470403433,0.922122955,1.797716379,3.500840664,6.976536751
TILB_PAA,0.461535931,0.89180994,1.611255646,2.987593889,5.246239424
LBF_PDD,0.495571375,0.797985792,1.188989878,1.873654842,3.109700918
TILB_PDD,0.515578747,0.813327789,1.204054356,1.938353777,3.144669056
KMC2,0.265931129,0.813510895,2.812925339,10.25431252,39.00068045
 , , , , , 
FacesUCR,k=8,k=16,k=32,k=64,k=128
CKM,0.360830545,0.782297373,1.611916304,3.270126343,6.653606415
TI,0.360157967,0.750937462,1.53354454,2.789972067,4.946596384
LBF_PAA,0.454214334,0.907763958,1.815835953,3.527966738,6.987498999
TILB_PAA,0.460331202,0.884108782,1.706749916,3.081034184,5.39030838
LBF_PDD,0.531253338,0.9550879,1.814230442,3.186912775,5.673740387
TILB_PDD,0.547044039,0.985101461,1.783536911,2.94415307,4.897393703
KMC2,0.25000453,0.813471317,2.849444628,10.30044723,39.50981498
 , , , , , 
FiftyWords,k=8,k=16,k=32,k=64,k=128
CKM,0.297801256,0.641174555,1.281636477,2.641750574,5.345311642
TI,0.265632868,0.547376394,1.000468016,1.812898159,3.194170952
LBF_PAA,0.211873293,0.296878338,0.406561852,0.609399319,0.923896313
TILB_PAA,0.203122854,0.312494993,0.437496185,0.656256437,1.219087362
LBF_PDD,0.375597239,0.562935114,0.90686512,1.485421419,2.438714504
TILB_PDD,0.360159159,0.54738903,0.875286579,1.359972477,2.293176413
